title,id,time,taxonomy_name,type_of_entry,type_of_taxonomy,temporalEntities,entitiesNumber
A Legacy of the Technosphere,28356,2016-11-15T14:08:42,Topography,contribution,keywords,[],0
A Legacy of the Technosphere,28356,2016-11-15T14:08:42,Waste,contribution,keywords,[],0
a n t h r o p o z i n e # 0,26386,2015-04-01T08:49:20,Deep time,contribution,keywords,"['2014', '8211', 'Dec. 12 2014', 'late November of 2014', 'the last day', '2015']",6
a n t h r o p o z i n e # 0,26386,2015-04-01T08:49:20,History,contribution,keywords,"['2014', '8211', 'Dec. 12 2014', 'late November of 2014', 'the last day', '2015']",6
A Recipe for Crafting Color: The Revival of Natural Dyeing in South India,32016,2018-01-15T16:00:54,Aesthetics,contribution,keywords,[],0
A Recipe for Crafting Color: The Revival of Natural Dyeing in South India,32016,2018-01-15T16:00:54,Commodities,contribution,keywords,[],0
A Recipe for Crafting Color: The Revival of Natural Dyeing in South India,32016,2018-01-15T16:00:54,Future,contribution,keywords,[],0
A Recipe for Crafting Color: The Revival of Natural Dyeing in South India,32016,2018-01-15T16:00:54,Local knowledge,contribution,keywords,[],0
A River Indicts,28426,2020-09-04T13:28:50,Agency,contribution,keywords,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Indicts,28426,2020-09-04T13:28:50,Agriculture,contribution,keywords,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Indicts,28426,2020-09-04T13:28:50,Anthropos,contribution,keywords,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Indicts,28426,2020-09-04T13:28:50,Commodities,contribution,keywords,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Indicts,28426,2020-09-04T13:28:50,Environmental Justice,contribution,keywords,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Indicts,28426,2020-09-04T13:28:50,Human-animal relations,contribution,keywords,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Indicts,28426,2020-09-04T13:28:50,Human-environment relations,contribution,keywords,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Indicts,28426,2020-09-04T13:28:50,Toxicity,contribution,keywords,"['1968', 'a few decades old', '9,000 years ago', '140 years ago', 'a few years ago', '2019', 'recent years', '2002', 'up to three years', '1988', '2010', '1972', 'annually', 'thousands of years', 'a single year, 2019', 'a few hundred years ago', 'the 1930s', 'Today', 'some years', '1996', '1968', 'the Middle Ages', 'ninety day', 'the 1960s', '2005', 'Today', 'the Middle Ages', 'Today', '2020']",29
A River Semester,29885,2020-11-22T10:24:10,Capitalism,contribution,keywords,"['October 28, 2020', 'five-day']",2
A River Semester,29885,2020-11-22T10:24:10,Climate change,contribution,keywords,"['October 28, 2020', 'five-day']",2
A River Semester,29885,2020-11-22T10:24:10,Race,contribution,keywords,"['October 28, 2020', 'five-day']",2
A River Semester,29885,2020-11-22T10:24:10,Settler Colonialism,contribution,keywords,"['October 28, 2020', 'five-day']",2
A River Semester,29885,2020-11-22T10:24:10,Species,contribution,keywords,"['October 28, 2020', 'five-day']",2
"A Seed, a Sound",30023,2020-11-26T12:12:03,Ecology,contribution,keywords,"['October 31, 2020']",1
"A Seed, a Sound",30023,2020-11-26T12:12:03,History,contribution,keywords,"['October 31, 2020']",1
A Slobjects Exercise: What’s in Our Pockets?,21504,2014-11-23T10:29:19,Agency,contribution,keywords,[],0
A Slobjects Exercise: What’s in Our Pockets?,21504,2014-11-23T10:29:19,Knowledge transformation,contribution,keywords,[],0
A Slobjects Exercise: What’s in Our Pockets?,21504,2014-11-23T10:29:19,Time,contribution,keywords,[],0
A Suspended Archive,26871,2020-07-03T13:21:03,Engineering,contribution,keywords,"['Today', 'October 2019', '1935', 'October 2019', '18 October 2019', 'twenty-five years earlier', '1995', '2016', 'a balmy October day', '337 years earlier', 'Two years later', '1905', '1841', 'a century later', '1968', 'the 1680s', '1982', 'at least one thousand years', '28, 2019', '2017', '14 October', '1951', '2012', 'Today', '2011', 'the sixteenth century', '79', '2006', '14 October 2019', '2009', '1780-1939', '1979', '19).Hunter, 1979', 'Hunter, 1979', '1927', '2007', '1880s', 'a decade', '1880-1930', '1983', '1882', '1992', '1961', '2011', '1850-1950', '1985', '2015', '17 October 2019', 'late October 2019', '1941', 'year', 'Today', 'May 13, 2019', 'Early morning', '18 October 2019', '1927', 'Only two months earlier', 'July 21, 2019', '1,600 years', 'April 11, 2018', '2006', '17 November 2019']",62
A Suspended Archive,26871,2020-07-03T13:21:03,History,contribution,keywords,"['Today', 'October 2019', '1935', 'October 2019', '18 October 2019', 'twenty-five years earlier', '1995', '2016', 'a balmy October day', '337 years earlier', 'Two years later', '1905', '1841', 'a century later', '1968', 'the 1680s', '1982', 'at least one thousand years', '28, 2019', '2017', '14 October', '1951', '2012', 'Today', '2011', 'the sixteenth century', '79', '2006', '14 October 2019', '2009', '1780-1939', '1979', '19).Hunter, 1979', 'Hunter, 1979', '1927', '2007', '1880s', 'a decade', '1880-1930', '1983', '1882', '1992', '1961', '2011', '1850-1950', '1985', '2015', '17 October 2019', 'late October 2019', '1941', 'year', 'Today', 'May 13, 2019', 'Early morning', '18 October 2019', '1927', 'Only two months earlier', 'July 21, 2019', '1,600 years', 'April 11, 2018', '2006', '17 November 2019']",62
A Suspended Archive,26871,2020-07-03T13:21:03,Human-environment relations,contribution,keywords,"['Today', 'October 2019', '1935', 'October 2019', '18 October 2019', 'twenty-five years earlier', '1995', '2016', 'a balmy October day', '337 years earlier', 'Two years later', '1905', '1841', 'a century later', '1968', 'the 1680s', '1982', 'at least one thousand years', '28, 2019', '2017', '14 October', '1951', '2012', 'Today', '2011', 'the sixteenth century', '79', '2006', '14 October 2019', '2009', '1780-1939', '1979', '19).Hunter, 1979', 'Hunter, 1979', '1927', '2007', '1880s', 'a decade', '1880-1930', '1983', '1882', '1992', '1961', '2011', '1850-1950', '1985', '2015', '17 October 2019', 'late October 2019', '1941', 'year', 'Today', 'May 13, 2019', 'Early morning', '18 October 2019', '1927', 'Only two months earlier', 'July 21, 2019', '1,600 years', 'April 11, 2018', '2006', '17 November 2019']",62
A Suspended Archive,26871,2020-07-03T13:21:03,Settler Colonialism,contribution,keywords,"['Today', 'October 2019', '1935', 'October 2019', '18 October 2019', 'twenty-five years earlier', '1995', '2016', 'a balmy October day', '337 years earlier', 'Two years later', '1905', '1841', 'a century later', '1968', 'the 1680s', '1982', 'at least one thousand years', '28, 2019', '2017', '14 October', '1951', '2012', 'Today', '2011', 'the sixteenth century', '79', '2006', '14 October 2019', '2009', '1780-1939', '1979', '19).Hunter, 1979', 'Hunter, 1979', '1927', '2007', '1880s', 'a decade', '1880-1930', '1983', '1882', '1992', '1961', '2011', '1850-1950', '1985', '2015', '17 October 2019', 'late October 2019', '1941', 'year', 'Today', 'May 13, 2019', 'Early morning', '18 October 2019', '1927', 'Only two months earlier', 'July 21, 2019', '1,600 years', 'April 11, 2018', '2006', '17 November 2019']",62
A Suspended Archive,26871,2020-07-03T13:21:03,Water,contribution,keywords,"['Today', 'October 2019', '1935', 'October 2019', '18 October 2019', 'twenty-five years earlier', '1995', '2016', 'a balmy October day', '337 years earlier', 'Two years later', '1905', '1841', 'a century later', '1968', 'the 1680s', '1982', 'at least one thousand years', '28, 2019', '2017', '14 October', '1951', '2012', 'Today', '2011', 'the sixteenth century', '79', '2006', '14 October 2019', '2009', '1780-1939', '1979', '19).Hunter, 1979', 'Hunter, 1979', '1927', '2007', '1880s', 'a decade', '1880-1930', '1983', '1882', '1992', '1961', '2011', '1850-1950', '1985', '2015', '17 October 2019', 'late October 2019', '1941', 'year', 'Today', 'May 13, 2019', 'Early morning', '18 October 2019', '1927', 'Only two months earlier', 'July 21, 2019', '1,600 years', 'April 11, 2018', '2006', '17 November 2019']",62
"A Trace, a Breath",29972,2020-11-24T12:18:48,Capitalism,contribution,keywords,"['October 29, 2020']",1
"A Trace, a Breath",29972,2020-11-24T12:18:48,Settler Colonialism,contribution,keywords,"['October 29, 2020']",1
AC event 2016,9833,2016-10-30T17:18:54,Agriculture,contribution,keywords,"['between October 27 and 29, 2016', 'War', 'a few years', 'day one', 'day two', 'day three', '2010', 'The last afternoon', 'the academic year', '2017', '2016']",11
AC event 2016,9833,2016-10-30T17:18:54,Economy,contribution,keywords,"['between October 27 and 29, 2016', 'War', 'a few years', 'day one', 'day two', 'day three', '2010', 'The last afternoon', 'the academic year', '2017', '2016']",11
AC event 2016,9833,2016-10-30T17:18:54,Human-environment relations,contribution,keywords,"['between October 27 and 29, 2016', 'War', 'a few years', 'day one', 'day two', 'day three', '2010', 'The last afternoon', 'the academic year', '2017', '2016']",11
Acknowledging Indigenous Land and a Performance of &#8220;Idle No More&#8221;,20579,2020-02-26T16:16:03,Agency,contribution,keywords,[],0
Acknowledging Indigenous Land and a Performance of &#8220;Idle No More&#8221;,20579,2020-02-26T16:16:03,Local knowledge,contribution,keywords,[],0
Acknowledging Indigenous Land and a Performance of &#8220;Idle No More&#8221;,20579,2020-02-26T16:16:03,Naturecultures,contribution,keywords,[],0
Acknowledging Indigenous Land and a Performance of &#8220;Idle No More&#8221;,20579,2020-02-26T16:16:03,Representation,contribution,keywords,[],0
"Acquiring and Optimizing Sustainable Relationships for Good Solid Cash Flow Streams. Or, Speaking with Plants.",16996,2020-01-16T15:47:10,Capitalism,contribution,keywords,"['1985', 'Today', 'tomorrow', 'today', '2018', 'our days', 'daily']",7
"Acquiring and Optimizing Sustainable Relationships for Good Solid Cash Flow Streams. Or, Speaking with Plants.",16996,2020-01-16T15:47:10,Care,contribution,keywords,"['1985', 'Today', 'tomorrow', 'today', '2018', 'our days', 'daily']",7
"Acquiring and Optimizing Sustainable Relationships for Good Solid Cash Flow Streams. Or, Speaking with Plants.",16996,2020-01-16T15:47:10,Environmental Justice,contribution,keywords,"['1985', 'Today', 'tomorrow', 'today', '2018', 'our days', 'daily']",7
"Acquiring and Optimizing Sustainable Relationships for Good Solid Cash Flow Streams. Or, Speaking with Plants.",16996,2020-01-16T15:47:10,Human-environment relations,contribution,keywords,"['1985', 'Today', 'tomorrow', 'today', '2018', 'our days', 'daily']",7
Adaptive Modeling,21823,2014-11-23T10:21:02,Adaptation,contribution,keywords,"['the 1970s', '1970s', '2012', 'the 1960s', '1973', '1973', 'the 1970s', '6', '5-day', '1-day', '1-week', '1978']",12
Adaptive Modeling,21823,2014-11-23T10:21:02,Biosphere,contribution,keywords,"['the 1970s', '1970s', '2012', 'the 1960s', '1973', '1973', 'the 1970s', '6', '5-day', '1-day', '1-week', '1978']",12
Adaptive Modeling,21823,2014-11-23T10:21:02,Complexity,contribution,keywords,"['the 1970s', '1970s', '2012', 'the 1960s', '1973', '1973', 'the 1970s', '6', '5-day', '1-day', '1-week', '1978']",12
Adaptive Modeling,21823,2014-11-23T10:21:02,Model,contribution,keywords,"['the 1970s', '1970s', '2012', 'the 1960s', '1973', '1973', 'the 1970s', '6', '5-day', '1-day', '1-week', '1978']",12
Adaptive Modeling,21823,2014-11-23T10:21:02,Participatory governance,contribution,keywords,"['the 1970s', '1970s', '2012', 'the 1960s', '1973', '1973', 'the 1970s', '6', '5-day', '1-day', '1-week', '1978']",12
Agricultural Revolution vs. the Industrial Revolution,22596,2014-11-23T10:19:28,Agriculture,contribution,keywords,[],0
Agricultural Revolution vs. the Industrial Revolution,22596,2014-11-23T10:19:28,Scale,contribution,keywords,[],0
Agricultural Revolution vs. the Industrial Revolution,22596,2014-11-23T10:19:28,Time,contribution,keywords,[],0
Alternatives to Global Challenges,22884,2014-11-23T11:42:45,Media,contribution,keywords,['2014'],1
Alternatives to Global Challenges,22884,2014-11-23T11:42:45,Naturecultures,contribution,keywords,['2014'],1
Alternatives to Global Challenges,22884,2014-11-23T11:42:45,Representation,contribution,keywords,['2014'],1
Ambient Infrastructures. Generator Life in Nigeria,28280,2016-11-15T16:07:09,Energy,contribution,keywords,[],0
Ambient Infrastructures. Generator Life in Nigeria,28280,2016-11-15T16:07:09,Infrastructure,contribution,keywords,[],0
Ambient Infrastructures. Generator Life in Nigeria,28280,2016-11-15T16:07:09,Technosphere,contribution,keywords,[],0
An Anthropocene Challenge: Creating models for landscape-scale change,18738,2020-02-10T14:18:00,Adaptation,contribution,keywords,"['some 12,000 years ago', '2014', 'the earliest of days', 'the twenty-first century era', 'more than three decades', '1976', '1988', 'the coming decades', 'tomorrow', '23, 2019', 'the twentieth century', 'the 1860s', 'the early 1920s', '1968', 'the 52 years', '2015', '2015', 'twenty-first-century']",18
An Anthropocene Challenge: Creating models for landscape-scale change,18738,2020-02-10T14:18:00,Degradation,contribution,keywords,"['some 12,000 years ago', '2014', 'the earliest of days', 'the twenty-first century era', 'more than three decades', '1976', '1988', 'the coming decades', 'tomorrow', '23, 2019', 'the twentieth century', 'the 1860s', 'the early 1920s', '1968', 'the 52 years', '2015', '2015', 'twenty-first-century']",18
An Anthropocene Challenge: Creating models for landscape-scale change,18738,2020-02-10T14:18:00,Human-environment relations,contribution,keywords,"['some 12,000 years ago', '2014', 'the earliest of days', 'the twenty-first century era', 'more than three decades', '1976', '1988', 'the coming decades', 'tomorrow', '23, 2019', 'the twentieth century', 'the 1860s', 'the early 1920s', '1968', 'the 52 years', '2015', '2015', 'twenty-first-century']",18
An Anthropocene Challenge: Creating models for landscape-scale change,18738,2020-02-10T14:18:00,Model,contribution,keywords,"['some 12,000 years ago', '2014', 'the earliest of days', 'the twenty-first century era', 'more than three decades', '1976', '1988', 'the coming decades', 'tomorrow', '23, 2019', 'the twentieth century', 'the 1860s', 'the early 1920s', '1968', 'the 52 years', '2015', '2015', 'twenty-first-century']",18
An Anthropocene Challenge: Creating models for landscape-scale change,18738,2020-02-10T14:18:00,Naturecultures,contribution,keywords,"['some 12,000 years ago', '2014', 'the earliest of days', 'the twenty-first century era', 'more than three decades', '1976', '1988', 'the coming decades', 'tomorrow', '23, 2019', 'the twentieth century', 'the 1860s', 'the early 1920s', '1968', 'the 52 years', '2015', '2015', 'twenty-first-century']",18
An Anthropocene Challenge: Creating models for landscape-scale change,18738,2020-02-10T14:18:00,Resilience,contribution,keywords,"['some 12,000 years ago', '2014', 'the earliest of days', 'the twenty-first century era', 'more than three decades', '1976', '1988', 'the coming decades', 'tomorrow', '23, 2019', 'the twentieth century', 'the 1860s', 'the early 1920s', '1968', 'the 52 years', '2015', '2015', 'twenty-first-century']",18
An Anthropocene in Two Parts,29760,2020-11-19T16:25:09,Capitalism,contribution,keywords,"['October 26, 2020', '2038']",2
An Anthropocene in Two Parts,29760,2020-11-19T16:25:09,Ecology,contribution,keywords,"['October 26, 2020', '2038']",2
An Anthropocene in Two Parts,29760,2020-11-19T16:25:09,Local knowledge,contribution,keywords,"['October 26, 2020', '2038']",2
An Anthropocene in Two Parts,29760,2020-11-19T16:25:09,Race,contribution,keywords,"['October 26, 2020', '2038']",2
An Anthropocene in Two Parts,29760,2020-11-19T16:25:09,Settler Colonialism,contribution,keywords,"['October 26, 2020', '2038']",2
Anthropocene. Archaeology of the Present,4224,2019-08-25T15:02:42,Anthropos,contribution,keywords,"['March 10, 2019']",1
Anthropocene. Archaeology of the Present,4224,2019-08-25T15:02:42,Climate change,contribution,keywords,"['March 10, 2019']",1
Anthropocene. Archaeology of the Present,4224,2019-08-25T15:02:42,Ecology,contribution,keywords,"['March 10, 2019']",1
Anthropocene. Archaeology of the Present,4224,2019-08-25T15:02:42,Epistemology,contribution,keywords,"['March 10, 2019']",1
Anthropocene. Archaeology of the Present,4224,2019-08-25T15:02:42,Water,contribution,keywords,"['March 10, 2019']",1
Anthropocene Campus Melbourne 2018: A Report,12309,2018-11-07T09:55:26,Critical materials,contribution,keywords,"['2018', 'at least a century ago', 'centuries']",3
Anthropocene Campus Melbourne 2018: A Report,12309,2018-11-07T09:55:26,Knowledge production,contribution,keywords,"['2018', 'at least a century ago', 'centuries']",3
Anthropocene Campus Melbourne 2018: A Report,12309,2018-11-07T09:55:26,Knowledge transformation,contribution,keywords,"['2018', 'at least a century ago', 'centuries']",3
Anthropocene Lecture &#8211; John McNeill,16852,2017-09-21T18:00:26,Disciplinarity,contribution,keywords,[],0
Anthropocene Lecture &#8211; John McNeill,16852,2017-09-21T18:00:26,History,contribution,keywords,[],0
Anthropocene Lecture &#8211; John McNeill,16852,2017-09-21T18:00:26,Knowledge production,contribution,keywords,[],0
Anthropocene Lecture &#8211; Julia Adeney Thomas,16607,2017-10-12T18:00:41,Epistemology,contribution,keywords,['today'],1
Anthropocene Lecture &#8211; Julia Adeney Thomas,16607,2017-10-12T18:00:41,History,contribution,keywords,['today'],1
Anthropocene Lecture &#8211; Julia Adeney Thomas,16607,2017-10-12T18:00:41,Human-environment relations,contribution,keywords,['today'],1
Anthropocene Lecture &#8211; Karen Litfin,16871,2017-12-19T19:00:12,Agency,contribution,keywords,[],0
Anthropocene Lecture &#8211; Karen Litfin,16871,2017-12-19T19:00:12,Anthropos,contribution,keywords,[],0
Anthropocene Lecture &#8211; Karen Litfin,16871,2017-12-19T19:00:12,Human-environment relations,contribution,keywords,[],0
Anthropocene Lecture &#8211; Philippe Descola,16593,2018-05-25T18:00:08,Anthropology,contribution,keywords,['the past decades'],1
Anthropocene Lecture &#8211; Philippe Descola,16593,2018-05-25T18:00:08,Climate change,contribution,keywords,['the past decades'],1
Anthropocene Lecture &#8211; Philippe Descola,16593,2018-05-25T18:00:08,Epistemology,contribution,keywords,['the past decades'],1
Anthropocene Lecture &#8211; Philippe Descola,16593,2018-05-25T18:00:08,Extinction,contribution,keywords,['the past decades'],1
Anthropocene Lecture &#8211; Prasannan Parthasarathi,16932,2018-06-01T18:00:27,Disciplinarity,contribution,keywords,"['the last fifty years', '1960s']",2
Anthropocene Lecture &#8211; Prasannan Parthasarathi,16932,2018-06-01T18:00:27,Epistemology,contribution,keywords,"['the last fifty years', '1960s']",2
Anthropocene Lecture &#8211; Prasannan Parthasarathi,16932,2018-06-01T18:00:27,History,contribution,keywords,"['the last fifty years', '1960s']",2
Anthropocene Lecture &#8211; Prasannan Parthasarathi,16932,2018-06-01T18:00:27,Naturecultures,contribution,keywords,"['the last fifty years', '1960s']",2
Anthropocene Lecture &#8211; Sheila Jasanoff,16762,2018-06-25T14:49:18,Environmental Justice,contribution,keywords,[],0
Anthropocene Lecture &#8211; Sheila Jasanoff,16762,2018-06-25T14:49:18,Human-environment relations,contribution,keywords,[],0
Anthropocene Reinsurance Corporation (ANTHRO:RE*),22253,2014-11-23T10:07:37,Calculation,contribution,keywords,"['Tomorrow', '1965', 'Today', '2000', 'annual', '2011', 'the year', 'years', 'today', '200,000 years', 'the last sixty years', '65 million years ago', '2013', 'the past 15 years', 'between a quarter and one-third', '2011', 'centuries', 'the early 1990s', '2008', 'twenty years', 'decades', 'recent years', 'April 2014', 'the same year', '2013', 'the fifth year in a row', 'annual', 'today', 'November 2014']",29
Anthropocene Reinsurance Corporation (ANTHRO:RE*),22253,2014-11-23T10:07:37,Climate change,contribution,keywords,"['Tomorrow', '1965', 'Today', '2000', 'annual', '2011', 'the year', 'years', 'today', '200,000 years', 'the last sixty years', '65 million years ago', '2013', 'the past 15 years', 'between a quarter and one-third', '2011', 'centuries', 'the early 1990s', '2008', 'twenty years', 'decades', 'recent years', 'April 2014', 'the same year', '2013', 'the fifth year in a row', 'annual', 'today', 'November 2014']",29
Anthropocene Reinsurance Corporation (ANTHRO:RE*),22253,2014-11-23T10:07:37,Economy,contribution,keywords,"['Tomorrow', '1965', 'Today', '2000', 'annual', '2011', 'the year', 'years', 'today', '200,000 years', 'the last sixty years', '65 million years ago', '2013', 'the past 15 years', 'between a quarter and one-third', '2011', 'centuries', 'the early 1990s', '2008', 'twenty years', 'decades', 'recent years', 'April 2014', 'the same year', '2013', 'the fifth year in a row', 'annual', 'today', 'November 2014']",29
Anthropocene Reinsurance Corporation (ANTHRO:RE*),22253,2014-11-23T10:07:37,Scale,contribution,keywords,"['Tomorrow', '1965', 'Today', '2000', 'annual', '2011', 'the year', 'years', 'today', '200,000 years', 'the last sixty years', '65 million years ago', '2013', 'the past 15 years', 'between a quarter and one-third', '2011', 'centuries', 'the early 1990s', '2008', 'twenty years', 'decades', 'recent years', 'April 2014', 'the same year', '2013', 'the fifth year in a row', 'annual', 'today', 'November 2014']",29
Anthropocene Reinsurance Corporation (ANTHRO:RE*),22253,2014-11-23T10:07:37,Speculative,contribution,keywords,"['Tomorrow', '1965', 'Today', '2000', 'annual', '2011', 'the year', 'years', 'today', '200,000 years', 'the last sixty years', '65 million years ago', '2013', 'the past 15 years', 'between a quarter and one-third', '2011', 'centuries', 'the early 1990s', '2008', 'twenty years', 'decades', 'recent years', 'April 2014', 'the same year', '2013', 'the fifth year in a row', 'annual', 'today', 'November 2014']",29
Anthropocene Reinsurance Corporation (ANTHRO:RE*),22253,2014-11-23T10:07:37,Water,contribution,keywords,"['Tomorrow', '1965', 'Today', '2000', 'annual', '2011', 'the year', 'years', 'today', '200,000 years', 'the last sixty years', '65 million years ago', '2013', 'the past 15 years', 'between a quarter and one-third', '2011', 'centuries', 'the early 1990s', '2008', 'twenty years', 'decades', 'recent years', 'April 2014', 'the same year', '2013', 'the fifth year in a row', 'annual', 'today', 'November 2014']",29
Anthropocene River Campus: The Human Delta short film,28608,2020-09-18T09:09:23,Anthropos,contribution,keywords,['November 2019'],1
Anthropocene River Campus: The Human Delta short film,28608,2020-09-18T09:09:23,Capitalism,contribution,keywords,['November 2019'],1
Anthropocene River Campus: The Human Delta short film,28608,2020-09-18T09:09:23,Carbon,contribution,keywords,['November 2019'],1
